Date,Address,Postcode,Type,New-build,Tenure,Bedrooms,"Price paid",Lat,Lng,URL
"2022-11-11 00:00:00","52b, Searles Road","SE1 4YL","Terraced house","Old stock",Freehold,1,480000,51.4934887,-0.0877418,https://propertydata.co.uk/transaction/F16F63C6-27B5-0491-E053-6C04A8C032ED
"2022-11-10 00:00:00","Flat 22, Eugene Cotter House, Beckway Street","SE17 1QS",Flat,"Old stock",Leasehold,1,255000,51.4912896,-0.0863357,https://propertydata.co.uk/transaction/F16F63C6-293C-0491-E053-6C04A8C032ED
"2022-11-04 00:00:00","39, Alma Grove","SE1 5QB","Terraced house","Old stock",Freehold,3,1100000,51.4906927,-0.0713074,https://propertydata.co.uk/transaction/F16F63C6-0AFE-0491-E053-6C04A8C032ED
"2022-11-03 00:00:00","1, Tisdall Place","SE17 1QQ","Terraced house","Old stock",Freehold,3,675000,51.4899482,-0.0862478,https://propertydata.co.uk/transaction/F5E8B081-E0F4-3A13-E053-6C04A8C060B7
"2022-10-25 00:00:00","Flat 12, Dormstone House, Congreve Street","SE17 1TA",Flat,"Old stock",Leasehold,2,390000,51.4909508,-0.0832095,https://propertydata.co.uk/transaction/F87E72F9-7DB7-176C-E053-6B04A8C0D2BE
"2022-10-21 00:00:00","129, Rodney Road","SE17 1RF",Flat,"Old stock",Leasehold,1,290000,51.4916141,-0.0896929,https://propertydata.co.uk/transaction/EED73E76-39B3-6AF3-E053-6C04A8C08ABA
"2022-10-14 00:00:00","52, Surrey Square","SE17 2JX","Terraced house","Old stock",Freehold,4,1700000,51.4890828,-0.0822652,https://propertydata.co.uk/transaction/EED73E76-1182-6AF3-E053-6C04A8C08ABA
"2022-10-07 00:00:00","56, Aylesbury Road","SE17 2EH",Flat,"Old stock",Leasehold,1,417000,51.4874215,-0.0879092,https://propertydata.co.uk/transaction/EED73E76-B879-6AF3-E053-6C04A8C08ABA
"2022-09-28 00:00:00","Flat 3, Dormstone House, Congreve Street","SE17 1TA",Flat,"Old stock",Leasehold,3,500000,51.4909508,-0.0832095,https://propertydata.co.uk/transaction/F3B6C199-52A4-6E40-E053-6C04A8C0B3B4
"2022-09-23 00:00:00","1, Aylesbury Road","SE17 2EQ","Semi-detached house","Old stock",Freehold,3,670000,51.4877108,-0.0879147,https://propertydata.co.uk/transaction/EC7AD09A-22F1-9200-E053-6C04A8C0E306
"2022-09-15 00:00:00","Flat 2, Abbey Court, Macleod Street","SE17 3HA",Flat,"Old stock",Leasehold,1,395000,51.4859696,-0.0953046,https://propertydata.co.uk/transaction/EC7AD09A-4CF8-9200-E053-6C04A8C0E306
"2022-09-09 00:00:00","21, Empress Street","SE17 3HH",Flat,"Old stock",Leasehold,2,330000,51.4848479,-0.094988,https://propertydata.co.uk/transaction/EED73E76-3909-6AF3-E053-6C04A8C08ABA
"2022-09-09 00:00:00","43, Cadet Drive","SE1 5RU","Terraced house","Old stock",Freehold,3,705000,51.4892126,-0.0708975,https://propertydata.co.uk/transaction/EC7AD09A-4CB6-9200-E053-6C04A8C0E306
"2022-09-05 00:00:00","8a, Dunton Road","SE1 5TJ",Flat,"Old stock",Leasehold,2,445000,51.4926631,-0.0746528,https://propertydata.co.uk/transaction/F3B6C198-D81F-6E40-E053-6C04A8C0B3B4
"2022-09-02 00:00:00","7b, Mason Street","SE17 1HF",Flat,"Old stock",Leasehold,3,500000,51.4930905,-0.0858312,https://propertydata.co.uk/transaction/EC7AD09A-490C-9200-E053-6C04A8C0E306
"2022-09-01 00:00:00","Flat 17, Mawbey House, Old Kent Road","SE1 5PG",Flat,"Old stock",Leasehold,2,310000,51.4864506,-0.0713742,https://propertydata.co.uk/transaction/EA3278AA-916A-2676-E053-6B04A8C015F8
"2022-08-31 00:00:00","Flat 13, Ellis House, Brandon Street","SE17 1EA",Flat,"Old stock",Leasehold,2,370000,51.4894211,-0.0919741,https://propertydata.co.uk/transaction/F16F63C6-2934-0491-E053-6C04A8C032ED
